Location,Fuel_Type,Transmission,Owner_Type,Seats,Price,mlg,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Delhi,Diesel,Manual,First,5.0,1.65,17.8,10,fiat,grande,17.8,1248.0,76.0,120
Bangalore,Petrol,Manual,Second,5.0,3.25,20.36,10,hyundai,i10,20.36,1197.0,78.9,36
Mumbai,Petrol,Manual,Third,5.0,0.55,17.3,18,maruti,zen,17.3,993.0,60.0,60
Hyderabad,Diesel,Manual,First,5.0,7.15,28.4,2,maruti,swift,28.4,1248.0,74.0,31
Pune,Diesel,Manual,First,5.0,3.75,22.95,3,tata,zest,22.95,1248.0,74.0,121
Jaipur,Diesel,Manual,First,5.0,4.35,23.4,8,maruti,swift,23.4,1248.0,74.0,73
Kochi,Petrol,Manual,First,5.0,3.26,22.74,4,maruti,alto,22.74,796.0,47.3,32
Kolkata,Diesel,Manual,First,5.0,3.11,21.9,7,hyundai,i20,21.9,1396.0,88.8,46
Coimbatore,Petrol,Automatic,First,5.0,5.96,15.0,6,hyundai,i20,15.0,1396.0,98.6,45
Pune,Diesel,Manual,First,5.0,5.25,22.95,2,tata,zest,22.95,1248.0,74.0,45
Delhi,Petrol,Manual,First,5.0,1.35,18.9,11,maruti,wagon,18.9,1061.0,67.0,60
Delhi,Petrol,Manual,First,5.0,4.85,18.2,5,honda,jazz,18.2,1199.0,88.7,62
Hyderabad,Petrol,Manual,First,5.0,3.1,20.36,10,hyundai,i10,20.36,1197.0,78.9,74
Pune,Petrol,Manual,First,5.0,2.8,20.36,8,hyundai,i10,20.36,1197.0,78.9,45
Mumbai,Petrol,Manual,First,5.0,3.89,16.47,5,volkswagen,polo,16.47,1198.0,73.9,31
Hyderabad,Petrol,Manual,First,5.0,2.1,20.92,9,maruti,alto,20.92,998.0,67.1,70
Coimbatore,Diesel,Manual,First,5.0,2.58,17.0,7,tata,indigo,17.0,1405.0,70.0,59
Hyderabad,Petrol,Automatic,First,5.0,4.25,23.1,6,maruti,celerio,23.1,998.0,67.04,77
Hyderabad,Petrol,Manual,First,5.0,2.05,14.0,8,maruti,omni,14.0,796.0,35.0,71
Kochi,Petrol,Manual,First,5.0,3.13,18.5,8,honda,brio,18.5,1198.0,86.8,91
Hyderabad,Diesel,Manual,Second,7.0,1.5,14.07,20,tata,sumo,14.07,2956.0,83.1,158
Pune,Diesel,Manual,First,5.0,2.85,18.0,8,tata,indica,18.0,1248.0,75.0,91
Delhi,Petrol,Manual,First,5.0,2.65,18.9,8,maruti,wagon,18.9,998.0,67.1,65
Pune,Diesel,Manual,Second,5.0,1.25,17.1,12,tata,indigo,17.1,1396.0,70.0,138
Mumbai,Petrol,Manual,First,7.0,8.25,16.02,2,maruti,ertiga,16.02,1373.0,93.7,18
Kolkata,Diesel,Manual,First,5.0,3.7,19.3,8,maruti,swift,19.3,1248.0,73.9,48
Hyderabad,Diesel,Manual,First,5.0,2.8,17.8,11,ford,fiesta,17.8,1399.0,68.0,160
Kolkata,Petrol,Manual,First,5.0,1.8,17.7,12,honda,city,17.7,1497.0,78.0,40
Pune,Diesel,Manual,First,5.0,5.5,23.0,8,hyundai,i20,23.0,1396.0,90.0,83
Bangalore,Petrol,Automatic,Third,5.0,2.95,16.95,11,hyundai,i10,16.95,1197.0,78.9,37
Kochi,Petrol,Automatic,First,5.0,6.86,19.0,4,honda,jazz,19.0,1199.0,88.7,28
Hyderabad,Diesel,Manual,First,5.0,6.15,25.2,5,maruti,swift,25.2,1248.0,74.0,76
Pune,Petrol,Manual,Second,5.0,3.3,18.5,9,hyundai,i20,18.5,1197.0,82.85,79
Kolkata,Petrol,Manual,First,5.0,2.55,16.47,9,volkswagen,polo,16.47,1198.0,73.9,32
Ahmedabad,Petrol,Manual,First,5.0,1.5,19.7,11,maruti,alto,19.7,796.0,46.3,35
Chennai,Petrol,Manual,Second,5.0,1.4,19.7,14,maruti,alto,19.7,796.0,46.3,56
Pune,Diesel,Manual,First,5.0,3.4,21.12,8,tata,manza,21.12,1248.0,88.8,73
Pune,Petrol,Manual,First,5.0,2.25,19.7,8,maruti,alto,19.7,796.0,46.3,38
Coimbatore,Petrol,Manual,First,5.0,7.66,18.6,4,hyundai,i20,18.6,1197.0,81.83,24
Chennai,Diesel,Manual,First,5.0,7.15,24.3,4,maruti,vitara,24.3,1248.0,88.5,45
Hyderabad,Diesel,Manual,Second,5.0,3.5,18.0,6,tata,indica,18.0,1248.0,75.0,133
Kolkata,Diesel,Manual,First,5.0,3.45,25.8,7,honda,amaze,25.8,1498.0,98.6,57
Coimbatore,Petrol,Manual,First,5.0,3.55,21.1,4,hyundai,eon,21.1,814.0,55.2,27
Ahmedabad,Diesel,Manual,First,5.0,2.9,21.02,7,tata,manza,21.02,1248.0,88.8,47
Pune,Petrol,Manual,First,5.0,3.75,24.07,3,maruti,alto,24.07,998.0,67.1,30
Mumbai,Diesel,Manual,First,5.0,6.75,22.7,6,ford,ecosport,22.7,1498.0,89.84,68
Kolkata,Petrol,Manual,Second,5.0,0.95,18.0,9,chevrolet,spark,18.0,995.0,62.0,21
Delhi,Diesel,Manual,First,5.0,3.5,22.9,7,maruti,swift,22.9,1248.0,74.0,70
Mumbai,Petrol,Automatic,First,5.0,6.2,18.5,4,maruti,swift,18.5,1197.0,83.14,18
Chennai,Diesel,Manual,First,5.0,2.75,23.08,9,nissan,micra,23.08,1461.0,63.1,83
Mumbai,Diesel,Manual,First,5.0,3.25,23.4,5,maruti,swift,23.4,1248.0,74.0,130
Pune,Diesel,Manual,First,5.0,3.25,17.8,8,ford,fiesta,17.8,1399.0,67.0,63
Kolkata,Petrol,Manual,First,5.0,0.65,17.3,17,maruti,zen,17.3,993.0,60.0,65
Kolkata,Diesel,Manual,First,5.0,3.25,23.59,6,toyota,etios,23.59,1364.0,67.05,45
Kolkata,Petrol,Manual,First,5.0,2.9,24.7,2,maruti,alto,24.7,796.0,47.3,26
Bangalore,Petrol,Manual,Third,5.0,2.9,18.9,9,maruti,alto,18.9,796.0,47.0,11
Coimbatore,Petrol,Automatic,First,5.0,5.77,18.9,5,hyundai,grand,18.9,1197.0,82.0,37
Hyderabad,Diesel,Manual,First,5.0,9.49,24.3,3,maruti,vitara,24.3,1248.0,88.5,39
Chennai,Petrol,Manual,Third,4.0,1.0,16.1,13,maruti,800,16.1,796.0,37.0,72
Chennai,Diesel,Manual,Second,5.0,7.1,20.45,5,renault,duster,20.45,1461.0,83.8,93
Hyderabad,Diesel,Manual,Second,5.0,3.2,21.1,10,maruti,ritz,21.1,1248.0,73.9,68
Kochi,Diesel,Manual,First,5.0,4.0,24.4,5,hyundai,xcent,24.4,1120.0,71.0,74
Delhi,Petrol,Manual,First,5.0,4.65,18.0,5,honda,amaze,18.0,1198.0,86.7,52
Chennai,Petrol,Manual,First,5.0,3.25,21.1,6,hyundai,eon,21.1,814.0,55.2,37
Kolkata,Petrol,Manual,First,5.0,3.1,20.51,6,maruti,wagon,20.51,998.0,67.04,17
Coimbatore,Diesel,Manual,First,5.0,3.91,21.1,9,maruti,ritz,21.1,1248.0,73.9,90
Jaipur,Petrol,Manual,First,5.0,0.92,19.7,10,maruti,alto,19.7,796.0,46.3,125
Pune,Petrol,Manual,First,5.0,2.75,14.0,7,maruti,wagon,14.0,1061.0,64.0,53
Pune,Petrol,Manual,First,5.0,0.8,13.2,15,hyundai,accent,13.2,1495.0,94.0,5
Jaipur,Petrol,Manual,First,5.0,6.9,17.19,3,hyundai,i20,17.19,1197.0,81.86,40
Kolkata,Petrol,Manual,Second,5.0,2.25,21.1,5,hyundai,eon,21.1,814.0,55.2,20
Kochi,Petrol,Manual,First,5.0,5.5,18.9,2,hyundai,grand,18.9,1197.0,81.86,40
Mumbai,Petrol,Manual,First,5.0,4.35,13.0,7,honda,city,13.0,1493.0,100.0,52
Kolkata,Petrol,Manual,First,5.0,2.25,16.47,10,volkswagen,polo,16.47,1198.0,73.9,55
Bangalore,Diesel,Manual,First,5.0,5.75,23.59,7,toyota,etios,23.59,1364.0,67.04,37
Delhi,Petrol,Manual,Second,5.0,3.2,19.4,6,honda,brio,19.4,1198.0,86.8,30
Coimbatore,Petrol,Automatic,First,5.0,9.89,21.4,2,maruti,baleno,21.4,1197.0,83.1,12
Kochi,Petrol,Manual,First,5.0,4.06,21.1,2,hyundai,eon,21.1,814.0,55.2,13
Kochi,Petrol,Manual,First,5.0,3.74,22.74,4,maruti,alto,22.74,796.0,47.3,34
Ahmedabad,Petrol,Manual,First,5.0,1.45,18.9,13,maruti,wagon,18.9,998.0,67.1,55
Kolkata,Petrol,Manual,First,5.0,2.0,17.7,12,honda,city,17.7,1497.0,78.0,40
Kolkata,Petrol,Manual,First,8.0,3.75,13.7,6,chevrolet,enjoy,13.7,1399.0,98.79,15
Coimbatore,Diesel,Manual,First,7.0,7.7,15.96,4,mahindra,bolero,15.96,2523.0,62.1,82
Hyderabad,Petrol,Manual,First,5.0,2.6,21.1,6,hyundai,eon,21.1,814.0,55.2,20
Hyderabad,Diesel,Manual,First,5.0,2.5,22.3,6,tata,indica,22.3,1248.0,74.0,67
Coimbatore,Petrol,Manual,First,5.0,7.98,18.6,3,hyundai,i20,18.6,1197.0,81.83,26
Chennai,Petrol,Manual,Second,5.0,2.25,18.5,9,maruti,ritz,18.5,1197.0,85.8,67
Hyderabad,Diesel,Manual,First,5.0,3.5,27.62,4,maruti,celerio,27.62,793.0,47.0,80
Delhi,Diesel,Manual,First,5.0,8.92,25.1,2,maruti,s-cross,25.1,1248.0,88.5,12
Pune,Petrol,Manual,First,5.0,7.2,18.6,4,hyundai,i20,18.6,1197.0,81.83,6
Pune,Diesel,Manual,First,5.0,5.25,24.4,4,hyundai,xcent,24.4,1120.0,71.0,51
Delhi,Diesel,Manual,First,5.0,6.5,22.7,6,ford,ecosport,22.7,1498.0,89.84,31
Hyderabad,Petrol,Manual,First,5.0,4.4,16.47,7,volkswagen,polo,16.47,1198.0,73.9,76
Kolkata,Diesel,Manual,First,5.0,4.6,24.0,3,hyundai,grand,24.0,1120.0,70.0,14
Ahmedabad,Diesel,Manual,First,5.0,2.95,21.12,7,tata,manza,21.12,1248.0,88.8,47
Bangalore,Petrol,Manual,Second,5.0,2.22,17.92,12,hyundai,santro,17.92,1086.0,62.1,46
Hyderabad,Diesel,Manual,First,7.0,10.5,12.99,8,toyota,innova,12.99,2494.0,100.0,162
Coimbatore,Diesel,Manual,First,5.0,8.26,28.09,3,maruti,ciaz,28.09,1248.0,88.5,25
Delhi,Petrol,Manual,First,5.0,4.5,18.9,5,hyundai,grand,18.9,1197.0,82.0,27
Hyderabad,Petrol,Manual,First,5.0,6.8,18.16,2,ford,figo,18.16,1196.0,86.8,3
Mumbai,Diesel,Manual,Second,5.0,7.0,19.87,5,renault,duster,19.87,1461.0,83.8,67
Chennai,Diesel,Manual,Second,5.0,2.25,20.0,9,ford,figo,20.0,1399.0,68.0,75
Kolkata,Diesel,Manual,First,5.0,2.75,22.07,8,volkswagen,polo,22.07,1199.0,73.9,52
Jaipur,Diesel,Manual,First,5.0,3.0,23.2,9,maruti,ritz,23.2,1248.0,73.94,91
Pune,Diesel,Manual,First,5.0,3.55,23.08,7,nissan,micra,23.08,1461.0,63.1,60
Jaipur,Petrol,Manual,Second,5.0,2.32,19.81,10,hyundai,i10,19.81,1086.0,68.05,59
Jaipur,Petrol,Manual,First,7.0,5.5,16.02,6,maruti,ertiga,16.02,1373.0,93.7,98
Chennai,Diesel,Manual,Second,5.0,3.2,18.7,14,skoda,octavia,18.7,1896.0,66.0,72
Pune,Petrol,Manual,First,5.0,4.0,18.0,5,honda,amaze,18.0,1198.0,86.7,79
Chennai,Petrol,Manual,First,5.0,1.6,17.3,16,maruti,zen,17.3,993.0,60.0,29
Mumbai,Petrol,Automatic,First,5.0,4.25,16.5,6,honda,brio,16.5,1198.0,86.8,35
Ahmedabad,Petrol,Manual,First,5.0,2.6,18.9,9,maruti,wagon,18.9,998.0,67.1,75
Kochi,Petrol,Manual,First,5.0,2.55,18.6,8,chevrolet,beat,18.6,1199.0,79.4,32
Mumbai,Diesel,Manual,First,5.0,6.25,22.7,6,ford,ecosport,22.7,1498.0,89.84,79
Hyderabad,Diesel,Manual,Second,5.0,3.6,17.8,10,maruti,swift,17.8,1248.0,75.0,86
Mumbai,Petrol,Manual,Second,5.0,4.8,18.9,3,hyundai,grand,18.9,1197.0,82.0,8
Hyderabad,Petrol,Manual,First,5.0,2.3,17.92,11,hyundai,santro,17.92,1086.0,62.1,80
Coimbatore,Petrol,Manual,First,5.0,4.95,17.6,7,toyota,etios,17.6,1496.0,88.73,27
Ahmedabad,Petrol,Manual,First,5.0,3.3,22.5,8,maruti,wagon,22.5,998.0,67.04,30
Jaipur,Petrol,Manual,First,5.0,2.79,23.1,6,maruti,celerio,23.1,998.0,67.04,56
Pune,Petrol,Manual,First,5.0,2.55,18.6,6,chevrolet,beat,18.6,1199.0,76.8,8
Ahmedabad,Petrol,Manual,Second,4.0,1.0,25.4,6,tata,nano,25.4,624.0,37.5,18
Kochi,Petrol,Manual,First,5.0,6.37,22.0,1,maruti,swift,22.0,1197.0,81.8,20
Kochi,Petrol,Manual,First,5.0,5.75,20.4,3,maruti,swift,20.4,1197.0,81.8,31
Mumbai,Petrol,Manual,First,7.0,6.8,16.02,6,maruti,ertiga,16.02,1373.0,93.7,13
Jaipur,Petrol,Manual,First,7.0,5.6,16.02,6,maruti,ertiga,16.02,1373.0,93.7,47
Jaipur,Diesel,Manual,First,5.0,1.0,17.0,15,tata,indigo,17.0,1405.0,70.0,108
Hyderabad,Diesel,Manual,First,5.0,3.85,19.3,9,maruti,swift,19.3,1248.0,73.9,130
Hyderabad,Diesel,Manual,First,5.0,3.0,17.8,8,ford,fiesta,17.8,1399.0,67.0,107
Mumbai,Petrol,Manual,First,5.0,5.75,18.0,4,honda,amaze,18.0,1198.0,86.7,9
Delhi,Diesel,Manual,First,5.0,6.75,22.54,6,hyundai,i20,22.54,1396.0,88.73,43
Bangalore,Diesel,Manual,Second,7.0,4.85,18.2,7,chevrolet,enjoy,18.2,1248.0,73.8,64
Mumbai,Diesel,Manual,First,7.0,9.51,12.99,8,toyota,innova,12.99,2494.0,100.0,55
